10#1247#Asignado#GRUPALIA INTERNET, S.A.#27/07/2000
10#1248#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#30/11/2017
10#1258#Asignado#ENA OPERADOR DE TELECOMUNICACIONES, S.L. UNIPERSONAL#21/03/2018
10#1259#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#19/10/2000
10#1260#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#19/10/2000
10#1264#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#21/12/2000
10#1265#Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#21/12/2000
10#1266#Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#21/12/2000
10#1267#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#18/01/2001
10#1268#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#18/01/2001
10#1271#Asignado#EUSKALTEL, S.A.#22/02/2001
10#1273#Asignado#11811 NUEVA INFORMACIÓN TELEFÓNICA, S.A. UNIPERSONAL#05/04/2001
10#1275#Asignado#DUOCOM EUROPE, S.L.#17/05/2001
10#1277#Asignado#PROCONO, S.A.#27/09/2001
10#128#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#130#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#131#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#132#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#133#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#134#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#135#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#136#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#137#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#138#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#139#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#140#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#141#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#142#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#143#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#144#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1441#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1442#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1443#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1444#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1445#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1446#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1447#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1448#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1449#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#145#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1450#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1451#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1452#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1453#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1454#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1455#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1456#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1457#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1458#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1459#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#146#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1465#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1466#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1467#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
